ID,respondente,cenario,minhas_FMs
D01,P5,11,FM01+FM03+FM07
D02,P2,5,FM02+FM03+FM06
D03,P4,8,FM01+FM07+FM08
D04,P2,1,FM02+FM04+FM06
D05,P3,5,FM02+FM04+FM06
D06,P4,5,FM01+FM07+FM08
D07,P4,11,FM01+FM07
D08,P5,8,FM01+FM03+FM07+FM08
D09,P2,8,FM02+FM03+FM04+FM06
D10,P4,1,FM01+FM02+FM04+FM07+FM08
D11,P5,5,FM01+FM03+FM07+FM08
D12,P3,8,FM01
D13,P1,5,FM01+FM02+FM05+FM06
D14,P3,11,FM01
D15,P1,8,FM01+FM02+FM03
D16,P5,1,FM01+FM02+FM03+FM04+FM06+FM07+FM08
D17,P2,11,FM02+FM04
D18,P3,1,FM02+FM06
D19,P1,1,FM01+FM02+FM04+FM06
D20,P1,11,FM01
