respondente,cenario,teto,desalinhada,FM01,FM02,FM03,FM04,FM05,FM06,FM07,FM08,n_funcoes
E1,1,False,False,1,1,0,1,0,1,0,0,4
E1,2,False,False,1,1,0,1,0,1,0,0,4
E1,3,False,False,1,1,1,1,0,1,0,0,5
E1,4,False,False,1,1,0,1,0,1,0,0,4
E1,5,False,False,1,1,0,1,1,1,0,0,5
E1,6,False,False,1,1,0,1,0,1,0,0,4
E1,7,False,False,1,1,0,1,1,1,0,0,5
E1,8,False,False,1,1,1,0,0,0,0,0,3
E1,9,False,False,1,1,0,1,0,1,0,0,4
E1,10,False,False,1,1,1,1,0,1,0,0,5
E1,11,True,False,1,0,0,0,0,0,0,0,1
E1,12,True,False,1,0,0,0,0,0,0,0,1
E1,13,True,False,1,0,0,0,0,0,0,0,1
E2,1,False,False,0,1,0,1,0,1,0,0,3
E2,2,False,False,0,1,0,0,0,1,0,0,2
E2,3,False,False,0,1,1,0,0,0,0,0,2
E2,4,False,False,0,1,0,1,0,1,0,0,3
E2,5,False,False,0,1,1,0,0,1,0,0,3
E2,6,False,False,0,1,1,0,0,0,0,0,2
E2,7,False,False,0,1,0,1,0,1,0,0,3
E2,8,False,False,0,1,1,1,0,1,0,0,4
E2,9,False,False,0,1,1,0,0,0,0,0,2
E2,10,False,False,0,1,1,1,0,1,0,0,4
E2,11,True,False,0,1,0,1,0,0,0,0,2
E2,12,True,False,1,1,1,0,0,0,0,0,3
E2,13,True,False,0,1,1,0,0,1,0,0,3
E3,1,False,False,0,1,0,1,0,1,0,0,3
E3,2,False,False,0,1,0,1,0,1,0,0,3
E3,3,False,False,0,1,0,1,0,1,0,0,3
E3,4,False,False,0,1,0,1,0,1,0,0,3
E3,5,False,False,0,1,0,1,0,1,0,0,3
E3,6,False,False,0,1,0,1,0,1,0,0,3
E3,7,False,False,0,1,0,1,0,1,0,0,3
E3,8,False,False,1,0,0,0,0,0,0,0,1
E3,9,False,False,0,1,0,1,0,1,0,0,3
E3,10,False,False,1,1,0,1,0,1,0,0,4
E3,11,True,False,1,0,0,0,0,0,0,0,1
E3,12,True,False,1,0,0,0,0,0,0,0,1
E3,13,True,False,1,0,0,0,0,0,0,0,1
E4,1,False,False,1,1,0,1,0,0,1,1,5
E4,2,False,False,1,1,0,1,0,1,1,1,6
E4,3,False,False,1,1,0,1,0,0,1,1,5
E4,4,False,False,1,1,0,1,0,1,0,1,5
E4,5,False,False,1,1,0,1,0,0,1,1,5
E4,6,False,False,1,1,0,1,0,1,0,1,5
E4,7,False,False,1,1,0,1,0,1,1,1,6
E4,8,False,False,1,1,0,1,0,0,1,1,5
E4,9,False,False,1,1,0,1,0,0,1,1,5
E4,10,False,True,1,1,0,1,0,0,1,1,5
E4,11,True,False,1,1,0,1,0,0,1,0,4
E4,12,True,False,1,0,0,0,0,0,0,0,1
E4,13,True,False,1,0,0,0,0,0,0,0,1
E5,1,False,False,1,1,1,1,0,1,1,1,7
E5,2,False,False,1,1,1,1,0,1,1,1,7
E5,3,False,False,1,1,1,1,0,1,1,1,7
E5,4,False,False,1,1,1,1,0,0,0,0,4
E5,5,False,False,1,1,1,1,0,0,1,1,6
E5,6,False,False,1,1,0,1,0,1,1,1,6
E5,7,False,False,1,0,0,1,1,0,1,1,5
E5,8,False,False,1,1,1,1,0,0,1,1,6
E5,9,False,False,1,1,1,1,1,1,1,1,8
E5,10,False,False,1,1,1,1,1,1,1,1,8
E5,11,True,False,1,0,1,0,0,0,1,0,3
E5,12,True,False,1,0,1,0,0,0,1,1,4
E5,13,True,False,1,0,1,0,1,1,1,1,6
